"id","name","code","account_type","chart_template_id/id","reconcile"
"account_activa_account_1","ACTIVO","1","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_101","ACTIVO CORRIENTE","101","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10101","CAJA","10101","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10101001","CAJA PRINCIPAL","10101001","Banco y efectivo","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10101002","CAJA CHICA","10101002","Banco y efectivo","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10101003","EFECTIVO EN DIVISAS POR DEPOSITAR ","10101003","Banco y efectivo","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10102","BANCOS","10102","Banco y efectivo","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10102001","BANCO XXXXX","10102001","Banco y efectivo","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10102002","TRANSITORIA DE BANCO","10102002","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10102003","RECIBO PENDIENTE POR CONCILIAR","10102003","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10102004","PAGOS PENDIENTES POR CONCILIAR","10102004","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10103","ANTICIPOS","10103","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10103001","ANTICIPOS A PROVEEDOR","10103001","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10104","CUENTAS Y EFECTOS POR COBRAR","10104","Por cobrar","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10104001","CUENTAS POR COBRAR CLIENTES","10104001","Por cobrar","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10104002","CUENTAS POR COBRAR A TERCEROS","10104002","Por cobrar","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10104003","CUENTAS POR COBRAR A EMPLEADOS","10104003","Por cobrar","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10105","OTRAS CUENTAS POR COBRAR","10105","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10105001","CHEQUES DEVUELTO","10105001","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10105002","OTROS DEUDORES VARIOS","10105002","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10106","PREPAGADOS","10106","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10106001","SEGUROS PAGADOS POR ANTICIPADOS","10106001","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10106002","OTROS PREPAGADOS","10106002","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10107","ACTIVOS IMPUESTOS CORRIENTES","10107","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10107001","RETENCION IVA","10107001","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
